Number of files:	3
Number of lines:	453
Total distance:	23222.955950
Total distance for:	Dorothy is:	 49.362600
Total distance for:	Felicidad is:	 97.826027
Total distance for:	Marnie is:	 93.052183
Total distance for:	Vivienne is:	 34.636966
Total distance for:	Brenna is:	 76.978974
Total distance for:	Evon is:	 89.727968
Total distance for:	Edwina is:	 6.032846
Total distance for:	Elisa is:	 23.317412
Total distance for:	Leatha is:	 83.938498
Total distance for:	Marlena is:	 49.037160
Total distance for:	Cecila is:	 37.332084
Total distance for:	Chi is:	 70.142741
Total distance for:	Alayna is:	 31.432770
Total distance for:	Cecil is:	 24.880823
Total distance for:	Candi is:	 38.059726
Total distance for:	Hilaria is:	 120.550608
Total distance for:	Brigida is:	 1.612420
Total distance for:	Annie is:	 51.193342
Total distance for:	Dotty is:	 57.371442
Total distance for:	Gabriella is:	 85.799784
Total distance for:	Jeane is:	 51.533344
Total distance for:	Johnathon is:	 93.430318
Total distance for:	Catina is:	 9.995139
Total distance for:	Saul is:	 54.972137
Total distance for:	Brenton is:	 69.287117
Total distance for:	Amberly is:	 17.552908
Total distance for:	Alex is:	 0.057889
Total distance for:	Celinda is:	 43.179256
Total distance for:	Ima is:	 55.858159
Total distance for:	Randell is:	 136.040422
Total distance for:	Merrilee is:	 89.641339
Total distance for:	Troy is:	 76.037523
Total distance for:	Jack is:	 78.340777
Total distance for:	Kenna is:	 63.099909
Total distance for:	Shu is:	 71.821236
Total distance for:	Caroll is:	 8.664723
Total distance for:	Jaime is:	 80.060600
Total distance for:	Sammy is:	 88.316848
Total distance for:	Caprice is:	 91.182770
Total distance for:	Donita is:	 63.214153
Total distance for:	Delpha is:	 67.196849
Total distance for:	Lorinda is:	 24.448245
Total distance for:	Kindra is:	 11.226623
Total distance for:	Scot is:	 45.709631
Total distance for:	Joycelyn is:	 80.383989
Total distance for:	Chassidy is:	 54.154806
Total distance for:	Latoria is:	 19.723759
Total distance for:	Floria is:	 75.091687
Total distance for:	Alma is:	 33.384306
Total distance for:	Angelyn is:	 66.382294
Total distance for:	Delmar is:	 68.718208
Total distance for:	Demarcus is:	 22.981595
Total distance for:	Leon is:	 145.659980
Total distance for:	Norberto is:	 77.003704
Total distance for:	Diego is:	 61.193085
Total distance for:	Aleen is:	 62.365515
Total distance for:	Beverley is:	 45.901182
Total distance for:	Ernestine is:	 65.417333
Total distance for:	Floyd is:	 99.197075
Total distance for:	Stanley is:	 35.425533
Total distance for:	Hanh is:	 7.758246
Total distance for:	Peggy is:	 75.899578
Total distance for:	Elma is:	 15.252260
Total distance for:	Ruthie is:	 50.490432
Total distance for:	Kassie is:	 38.198127
Total distance for:	Tamesha is:	 95.523127
Total distance for:	Ignacia is:	 88.375173
Total distance for:	Morris is:	 49.804529
Total distance for:	Bud is:	 35.378449
Total distance for:	Yoko is:	 79.756302
Total distance for:	Alda is:	 19.416507
Total distance for:	Selena is:	 87.707913
Total distance for:	Madeleine is:	 15.556016
Total distance for:	Ariana is:	 89.118313
Total distance for:	Hien is:	 55.649615
Total distance for:	Weston is:	 61.631666
Total distance for:	Loreen is:	 92.463590
Total distance for:	Grayce is:	 67.339114
Total distance for:	Roosevelt is:	 61.508516
Total distance for:	Sophie is:	 12.894069
Total distance for:	Jamison is:	 99.497336
Total distance for:	Cherish is:	 37.646664
Total distance for:	Earl is:	 92.894598
Total distance for:	Nichol is:	 67.972741
Total distance for:	Will is:	 11.693532
Total distance for:	Clarisa is:	 5.297060
Total distance for:	Elvis is:	 19.093139
Total distance for:	Velva is:	 39.387567
Total distance for:	Jazmin is:	 52.208645
Total distance for:	Angila is:	 29.455472
Total distance for:	Joie is:	 72.650919
Total distance for:	Julie is:	 108.488737
Total distance for:	Sherman is:	 71.868326
Total distance for:	Thomasena is:	 174.585077
Total distance for:	Kimberly is:	 22.520187
Total distance for:	Joella is:	 86.953195
Total distance for:	Hipolito is:	 99.757095
Total distance for:	Frances is:	 60.372967
Total distance for:	Minnie is:	 70.748446
Total distance for:	Lenora is:	 19.109425
Total distance for:	Todd is:	 116.557602
Total distance for:	Mamie is:	 68.923959
Total distance for:	Rosanne is:	 15.490970
Total distance for:	Janean is:	 65.056508
Total distance for:	Valentina is:	 94.753111
Total distance for:	Maximo is:	 130.947924
Total distance for:	Marsha is:	 72.196488
Total distance for:	Florentina is:	 91.245405
Total distance for:	Celeste is:	 6.620842
Total distance for:	Hyon is:	 23.630370
Total distance for:	Annamae is:	 56.457418
Total distance for:	Alejandrina is:	 60.377253
Total distance for:	Leora is:	 106.720350
Total distance for:	January is:	 96.249986
Total distance for:	Garfield is:	 99.263716
Total distance for:	Ronna is:	 55.577836
Total distance for:	Lura is:	 54.716264
Total distance for:	Vickie is:	 26.487493
Total distance for:	Roxane is:	 56.525237
Total distance for:	Bulah is:	 52.040888
Total distance for:	Elayne is:	 32.372246
Total distance for:	Roland is:	 99.917610
Total distance for:	Felipa is:	 98.511818
Total distance for:	Anika is:	 101.488530
Total distance for:	Charline is:	 12.586001
Total distance for:	Betsey is:	 72.168136
Total distance for:	Jerald is:	 86.475484
Total distance for:	Vincenza is:	 4.495429
Total distance for:	Kristi is:	 17.642137
Total distance for:	Barbera is:	 67.651430
Total distance for:	Ying is:	 73.128347
Total distance for:	Dorris is:	 90.002247
Total distance for:	Cheryl is:	 57.475341
Total distance for:	isha is:	 95.510901
Total distance for:	Katlyn is:	 66.817326
Total distance for:	Pearle is:	 45.628650
Total distance for:	Bobbie is:	 43.339976
Total distance for:	Fannie is:	 104.624468
Total distance for:	Ela is:	 91.388899
Total distance for:	Margit is:	 89.226003
